"時点","地域コード","地域","死亡数【人】","注記"
"1978年1月","00000","全国","69746",""
"1978年2月","00000","全国","62168",""
"1978年3月","00000","全国","61633",""
"1978年4月","00000","全国","56847",""
"1978年5月","00000","全国","55910",""
"1978年6月","00000","全国","53224",""
"1978年7月","00000","全国","55973",""
"1978年8月","00000","全国","54424",""
"1978年9月","00000","全国","50707",""
"1978年10月","00000","全国","56824",""
"1978年11月","00000","全国","56857",""
"1978年12月","00000","全国","61508",""
"1979年1月","00000","全国","64749",""
"1979年2月","00000","全国","54762",""
"1979年3月","00000","全国","61104",""
"1979年4月","00000","全国","57316",""
"1979年5月","00000","全国","57254",""
"1979年6月","00000","全国","53303",""
"1979年7月","00000","全国","53954",""
"1979年8月","00000","全国","54851",""
"1979年9月","00000","全国","51865",""
"1979年10月","00000","全国","57236",""
"1979年11月","00000","全国","58845",""
"1979年12月","00000","全国","64425",""
"1980年1月","00000","全国","70362",""
"1980年2月","00000","全国","66245",""
"1980年3月","00000","全国","69135",""
"1980年4月","00000","全国","60975",""
"1980年5月","00000","全国","58924",""
"1980年6月","00000","全国","52539",""
"1980年7月","00000","全国","53571",""
"1980年8月","00000","全国","53653",""
"1980年9月","00000","全国","52472",""
"1980年10月","00000","全国","58267",""
"1980年11月","00000","全国","60124",""
"1980年12月","00000","全国","66534",""
"1981年1月","00000","全国","71327",""
"1981年2月","00000","全国","60934",""
"1981年3月","00000","全国","65853",""
"1981年4月","00000","全国","60286",""
"1981年5月","00000","全国","58584",""
"1981年6月","00000","全国","53895",""
"1981年7月","00000","全国","57678",""
"1981年8月","00000","全国","54819",""
"1981年9月","00000","全国","52582",""
"1981年10月","00000","全国","57887",""
"1981年11月","00000","全国","60888",""
"1981年12月","00000","全国","65529",""
"1982年1月","00000","全国","68146",""
"1982年2月","00000","全国","66251",""
"1982年3月","00000","全国","65819",""
"1982年4月","00000","全国","60097",""
"1982年5月","00000","全国","58094",""
"1982年6月","00000","全国","52136",""
"1982年7月","00000","全国","53845",""
"1982年8月","00000","全国","54593",""
"1982年9月","00000","全国","52669",""
"1982年10月","00000","全国","57514",""
"1982年11月","00000","全国","58035",""
"1982年12月","00000","全国","64684",""
"1983年1月","00000","全国","73258",""
"1983年2月","00000","全国","69619",""
"1983年3月","00000","全国","66616",""
"1983年4月","00000","全国","59457",""
"1983年5月","00000","全国","58702",""
"1983年6月","00000","全国","53558",""
"1983年7月","00000","全国","56576",""
"1983年8月","00000","全国","59073",""
"1983年9月","00000","全国","53650",""
"1983年10月","00000","全国","60120",""
"1983年11月","00000","全国","62403",""
"1983年12月","00000","全国","67006",""
"1984年1月","00000","全国","73279",""
"1984年2月","00000","全国","66490",""
"1984年3月","00000","全国","67797",""
"1984年4月","00000","全国","61736",""
"1984年5月","00000","全国","60906",""
"1984年6月","00000","全国","55007",""
"1984年7月","00000","全国","56815",""
"1984年8月","00000","全国","58403",""
"1984年9月","00000","全国","54269",""
"1984年10月","00000","全国","59420",""
"1984年11月","00000","全国","60283",""
"1984年12月","00000","全国","65842",""
"1985年1月","00000","全国","71890",""
"1985年2月","00000","全国","62025",""
"1985年3月","00000","全国","66571",""
"1985年4月","00000","全国","60953",""
"1985年5月","00000","全国","59890",""
"1985年6月","00000","全国","55584",""
"1985年7月","00000","全国","58231",""
"1985年8月","00000","全国","58738",""
"1985年9月","00000","全国","54709",""
"1985年10月","00000","全国","61804",""
"1985年11月","00000","全国","63122",""
"1985年12月","00000","全国","78766",""
"1986年1月","00000","全国","77074",""
"1986年2月","00000","全国","64083",""
"1986年3月","00000","全国","67323",""
"1986年4月","00000","全国","62502",""
"1986年5月","00000","全国","60895",""
"1986年6月","00000","全国","56927",""
"1986年7月","00000","全国","57370",""
"1986年8月","00000","全国","57324",""
"1986年9月","00000","全国","55212",""
"1986年10月","00000","全国","61862",""
"1986年11月","00000","全国","63231",""
"1986年12月","00000","全国","66817",""
"1987年1月","00000","全国","72123",""
"1987年2月","00000","全国","61262",""
"1987年3月","00000","全国","67186",""
"1987年4月","00000","全国","62561",""
"1987年5月","00000","全国","60944",""
"1987年6月","00000","全国","57571",""
"1987年7月","00000","全国","58765",""
"1987年8月","00000","全国","58124",""
"1987年9月","00000","全国","56651",""
"1987年10月","00000","全国","62149",""
"1987年11月","00000","全国","63456",""
"1987年12月","00000","全国","70380",""
"1988年1月","00000","全国","71188",""
"1988年2月","00000","全国","68902",""
"1988年3月","00000","全国","74184",""
"1988年4月","00000","全国","66642",""
"1988年5月","00000","全国","64633",""
"1988年6月","00000","全国","59699",""
"1988年7月","00000","全国","60079",""
"1988年8月","00000","全国","61928",""
"1988年9月","00000","全国","58089",""
"1988年10月","00000","全国","65424",""
"1988年11月","00000","全国","69151",""
"1988年12月","00000","全国","73095",""
"1989年1月","00000","全国","76261",""
"1989年2月","00000","全国","64290",""
"1989年3月","00000","全国","69575",""
"1989年4月","00000","全国","64320",""
"1989年5月","00000","全国","64802",""
"1989年6月","00000","全国","60716",""
"1989年7月","00000","全国","61660",""
"1989年8月","00000","全国","60863",""
"1989年9月","00000","全国","59395",""
"1989年10月","00000","全国","66813",""
"1989年11月","00000","全国","65595",""
"1989年12月","00000","全国","74304",""
"1990年1月","00000","全国","86321",""
"1990年2月","00000","全国","72327",""
"1990年3月","00000","全国","72963",""
"1990年4月","00000","全国","66321",""
"1990年5月","00000","全国","65776",""
"1990年6月","00000","全国","61009",""
"1990年7月","00000","全国","63735",""
"1990年8月","00000","全国","64117",""
"1990年9月","00000","全国","60061",""
"1990年10月","00000","全国","66399",""
"1990年11月","00000","全国","68203",""
"1990年12月","00000","全国","73073",""
"1991年1月","00000","全国","79568",""
"1991年2月","00000","全国","71133",""
"1991年3月","00000","全国","76077",""
"1991年4月","00000","全国","69379",""
"1991年5月","00000","全国","69460",""
"1991年6月","00000","全国","62706",""
"1991年7月","00000","全国","64337",""
"1991年8月","00000","全国","63451",""
"1991年9月","00000","全国","60903",""
"1991年10月","00000","全国","67236",""
"1991年11月","00000","全国","71485",""
"1991年12月","00000","全国","74062",""
"1992年1月","00000","全国","80133",""
"1992年2月","00000","全国","76508",""
"1992年3月","00000","全国","76365",""
"1992年4月","00000","全国","69626",""
"1992年5月","00000","全国","70534",""
"1992年6月","00000","全国","65217",""
"1992年7月","00000","全国","67280",""
"1992年8月","00000","全国","66385",""
"1992年9月","00000","全国","64367",""
"1992年10月","00000","全国","69422",""
"1992年11月","00000","全国","72160",""
"1992年12月","00000","全国","78646",""
"1993年1月","00000","全国","90340",""
"1993年2月","00000","全国","80576",""
"1993年3月","00000","全国","80705",""
"1993年4月","00000","全国","72850",""
"1993年5月","00000","全国","70802",""
"1993年6月","00000","全国","64771",""
"1993年7月","00000","全国","67071",""
"1993年8月","00000","全国","65978",""
"1993年9月","00000","全国","63933",""
"1993年10月","00000","全国","71457",""
"1993年11月","00000","全国","71107",""
"1993年12月","00000","全国","78942",""
"1994年1月","00000","全国","82166",""
"1994年2月","00000","全国","73677",""
"1994年3月","00000","全国","81175",""
"1994年4月","00000","全国","73396",""
"1994年5月","00000","全国","69637",""
"1994年6月","00000","全国","64002",""
"1994年7月","00000","全国","69240",""
"1994年8月","00000","全国","71697",""
"1994年9月","00000","全国","65827",""
"1994年10月","00000","全国","71340",""
"1994年11月","00000","全国","73201",""
"1994年12月","00000","全国","80575",""
"1995年1月","00000","全国","104324",""
"1995年2月","00000","全国","86085",""
"1995年3月","00000","全国","86986",""
"1995年4月","00000","全国","74787",""
"1995年5月","00000","全国","72093",""
"1995年6月","00000","全国","65931",""
"1995年7月","00000","全国","68778",""
"1995年8月","00000","全国","69268",""
"1995年9月","00000","全国","65904",""
"1995年10月","00000","全国","70587",""
"1995年11月","00000","全国","75284",""
"1995年12月","00000","全国","82112",""
"1996年1月","00000","全国","85194",""
"1996年2月","00000","全国","79458",""
"1996年3月","00000","全国","80781",""
"1996年4月","00000","全国","75578",""
"1996年5月","00000","全国","73412",""
"1996年6月","00000","全国","65575",""
"1996年7月","00000","全国","68880",""
"1996年8月","00000","全国","68190",""
"1996年9月","00000","全国","66203",""
"1996年10月","00000","全国","73374",""
"1996年11月","00000","全国","73927",""
"1996年12月","00000","全国","85639",""
"1997年1月","00000","全国","102195",""
"1997年2月","00000","全国","80072",""
"1997年3月","00000","全国","81559",""
"1997年4月","00000","全国","75638",""
"1997年5月","00000","全国","72479",""
"1997年6月","00000","全国","67852",""
"1997年7月","00000","全国","68232",""
"1997年8月","00000","全国","68358",""
"1997年9月","00000","全国","65865",""
"1997年10月","00000","全国","74523",""
"1997年11月","00000","全国","75916",""
"1997年12月","00000","全国","80713",""
"1998年1月","00000","全国","89678",""
"1998年2月","00000","全国","88074",""
"1998年3月","00000","全国","86105",""
"1998年4月","00000","全国","75440",""
"1998年5月","00000","全国","74266",""
"1998年6月","00000","全国","69666",""
"1998年7月","00000","全国","72041",""
"1998年8月","00000","全国","71793",""
"1998年9月","00000","全国","69262",""
"1998年10月","00000","全国","74921",""
"1998年11月","00000","全国","79673",""
"1998年12月","00000","全国","85565",""
"1999年1月","00000","全国","115975",""
"1999年2月","00000","全国","93049",""
"1999年3月","00000","全国","87896",""
"1999年4月","00000","全国","79394",""
"1999年5月","00000","全国","78116",""
"1999年6月","00000","全国","70518",""
"1999年7月","00000","全国","72044",""
"1999年8月","00000","全国","72916",""
"1999年9月","00000","全国","69434",""
"1999年10月","00000","全国","76179",""
"1999年11月","00000","全国","78206",""
"1999年12月","00000","全国","88304",""
"2000年1月","00000","全国","98264",""
"2000年2月","00000","全国","92537",""
"2000年3月","00000","全国","88682",""
"2000年4月","00000","全国","79799",""
"2000年5月","00000","全国","76985",""
"2000年6月","00000","全国","69247",""
"2000年7月","00000","全国","72554",""
"2000年8月","00000","全国","72004",""
"2000年9月","00000","全国","69524",""
"2000年10月","00000","全国","75892",""
"2000年11月","00000","全国","79313",""
"2000年12月","00000","全国","86852",""
"2001年1月","00000","全国","93575",""
"2001年2月","00000","全国","80999",""
"2001年3月","00000","全国","88804",""
"2001年4月","00000","全国","82137",""
"2001年5月","00000","全国","79085",""
"2001年6月","00000","全国","72163",""
"2001年7月","00000","全国","75403",""
"2001年8月","00000","全国","73598",""
"2001年9月","00000","全国","72692",""
"2001年10月","00000","全国","78782",""
"2001年11月","00000","全国","83546",""
"2001年12月","00000","全国","89547",""
"2002年1月","00000","全国","93827",""
"2002年2月","00000","全国","83225",""
"2002年3月","00000","全国","88232",""
"2002年4月","00000","全国","79637",""
"2002年5月","00000","全国","79132",""
"2002年6月","00000","全国","73275",""
"2002年7月","00000","全国","76520",""
"2002年8月","00000","全国","75725",""
"2002年9月","00000","全国","73617",""
"2002年10月","00000","全国","80087",""
"2002年11月","00000","全国","87069",""
"2002年12月","00000","全国","92033",""
"2003年1月","00000","全国","108157",""
"2003年2月","00000","全国","88456",""
"2003年3月","00000","全国","91686",""
"2003年4月","00000","全国","83671",""
"2003年5月","00000","全国","82229",""
"2003年6月","00000","全国","74833",""
"2003年7月","00000","全国","76508",""
"2003年8月","00000","全国","77476",""
"2003年9月","00000","全国","74733",""
"2003年10月","00000","全国","82664",""
"2003年11月","00000","全国","82878",""
"2003年12月","00000","全国","91660",""
"2004年1月","00000","全国","99908",""
"2004年2月","00000","全国","92415",""
"2004年3月","00000","全国","91961",""
"2004年4月","00000","全国","83574",""
"2004年5月","00000","全国","82730",""
"2004年6月","00000","全国","75575",""
"2004年7月","00000","全国","79403",""
"2004年8月","00000","全国","79135",""
"2004年9月","00000","全国","76086",""
"2004年10月","00000","全国","85774",""
"2004年11月","00000","全国","86762",""
"2004年12月","00000","全国","95279",""
"2005年1月","00000","全国","103215",""
"2005年2月","00000","全国","95754",""
"2005年3月","00000","全国","108113",""
"2005年4月","00000","全国","91577",""
"2005年5月","00000","全国","86307",""
"2005年6月","00000","全国","78091",""
"2005年7月","00000","全国","80430",""
"2005年8月","00000","全国","82140",""
"2005年9月","00000","全国","78716",""
"2005年10月","00000","全国","85391",""
"2005年11月","00000","全国","90964",""
"2005年12月","00000","全国","103098",""
"2006年1月","00000","全国","109342",""
"2006年2月","00000","全国","92842",""
"2006年3月","00000","全国","95705",""
"2006年4月","00000","全国","90660",""
"2006年5月","00000","全国","88613",""
"2006年6月","00000","全国","81168",""
"2006年7月","00000","全国","82915",""
"2006年8月","00000","全国","83443",""
"2006年9月","00000","全国","80605",""
"2006年10月","00000","全国","86512",""
"2006年11月","00000","全国","91726",""
"2006年12月","00000","全国","100920",""
"2007年1月","00000","全国","104985",""
"2007年2月","00000","全国","91426",""
"2007年3月","00000","全国","101911",""
"2007年4月","00000","全国","92130",""
"2007年5月","00000","全国","90112",""
"2007年6月","00000","全国","82231",""
"2007年7月","00000","全国","84523",""
"2007年8月","00000","全国","88049",""
"2007年9月","00000","全国","82998",""
"2007年10月","00000","全国","91459",""
"2007年11月","00000","全国","94706",""
"2007年12月","00000","全国","103804",""
"2008年1月","00000","全国","110384",""
"2008年2月","00000","全国","102413",""
"2008年3月","00000","全国","102778",""
"2008年4月","00000","全国","94055",""
"2008年5月","00000","全国","91597",""
"2008年6月","00000","全国","84258",""
"2008年7月","00000","全国","87663",""
"2008年8月","00000","全国","88063",""
"2008年9月","00000","全国","85018",""
"2008年10月","00000","全国","92765",""
"2008年11月","00000","全国","97922",""
"2008年12月","00000","全国","105491",""
"2009年1月","00000","全国","114307",""
"2009年2月","00000","全国","94331",""
"2009年3月","00000","全国","100985",""
"2009年4月","00000","全国","93694",""
"2009年5月","00000","全国","92714",""
"2009年6月","00000","全国","84824",""
"2009年7月","00000","全国","86861",""
"2009年8月","00000","全国","88685",""
"2009年9月","00000","全国","87591",""
"2009年10月","00000","全国","94708",""
"2009年11月","00000","全国","97110",""
"2009年12月","00000","全国","106055",""
"2010年1月","00000","全国","113091",""
"2010年2月","00000","全国","97957",""
"2010年3月","00000","全国","103220",""
"2010年4月","00000","全国","98875",""
"2010年5月","00000","全国","97707",""
"2010年6月","00000","全国","90408",""
"2010年7月","00000","全国","95164",""
"2010年8月","00000","全国","95699",""
"2010年9月","00000","全国","91715",""
"2010年10月","00000","全国","98355",""
"2010年11月","00000","全国","103939",""
"2010年12月","00000","全国","110884",""
"2011年1月","00000","全国","121776",""
"2011年2月","00000","全国","103008",""
"2011年3月","00000","全国","130052",""
"2011年4月","00000","全国","103701",""
"2011年5月","00000","全国","101201",""
"2011年6月","00000","全国","94571",""
"2011年7月","00000","全国","94281",""
"2011年8月","00000","全国","96081",""
"2011年9月","00000","全国","92090",""
"2011年10月","00000","全国","100419",""
"2011年11月","00000","全国","101395",""
"2011年12月","00000","全国","114493",""
"2012年1月","00000","全国","123101",""
"2012年2月","00000","全国","114199",""
"2012年3月","00000","全国","111130",""
"2012年4月","00000","全国","102562",""
"2012年5月","00000","全国","98945",""
"2012年6月","00000","全国","90959",""
"2012年7月","00000","全国","94741",""
"2012年8月","00000","全国","96964",""
"2012年9月","00000","全国","92880",""
"2012年10月","00000","全国","102648",""
"2012年11月","00000","全国","108280",""
"2012年12月","00000","全国","119950",""
"2013年1月","00000","全国","127352",""
"2013年2月","00000","全国","110772",""
"2013年3月","00000","全国","111065",""
"2013年4月","00000","全国","103571",""
"2013年5月","00000","全国","102065",""
"2013年6月","00000","全国","92313",""
"2013年7月","00000","全国","96883",""
"2013年8月","00000","全国","99049",""
"2013年9月","00000","全国","96208",""
"2013年10月","00000","全国","103060",""
"2013年11月","00000","全国","108764",""
"2013年12月","00000","全国","117336",""
"2014年1月","00000","全国","124705",""
"2014年2月","00000","全国","110317",""
"2014年3月","00000","全国","113808",""
"2014年4月","00000","全国","104422",""
"2014年5月","00000","全国","100843",""
"2014年6月","00000","全国","92509",""
"2014年7月","00000","全国","95995",""
"2014年8月","00000","全国","98119",""
"2014年9月","00000","全国","97610",""
"2014年10月","00000","全国","104333",""
"2014年11月","00000","全国","108192",""
"2014年12月","00000","全国","122172",""
"2015年1月","00000","全国","134256",""
"2015年2月","00000","全国","110042",""
"2015年3月","00000","全国","113860",""
"2015年4月","00000","全国","104886",""
"2015年5月","00000","全国","102731",""
"2015年6月","00000","全国","94569",""
"2015年7月","00000","全国","99448",""
"2015年8月","00000","全国","101081",""
"2015年9月","00000","全国","98242",""
"2015年10月","00000","全国","107928",""
"2015年11月","00000","全国","106616",""
"2015年12月","00000","全国","116851",""
"2016年1月","00000","全国","124668",""
"2016年2月","00000","全国","114527",""
"2016年3月","00000","全国","116072",""
"2016年4月","00000","全国","105264",""
"2016年5月","00000","全国","103261",""
"2016年6月","00000","全国","95443",""
"2016年7月","00000","全国","99203",""
"2016年8月","00000","全国","103353",""
"2016年9月","00000","全国","100240",""
"2016年10月","00000","全国","109608",""
"2016年11月","00000","全国","113856",""
"2016年12月","00000","全国","122663",""
"2017年1月","00000","全国","134174",""
"2017年2月","00000","全国","116534",""
"2017年3月","00000","全国","120019",""
"2017年4月","00000","全国","108422",""
"2017年5月","00000","全国","106278",""
"2017年6月","00000","全国","97844",""
"2017年7月","00000","全国","102387",""
"2017年8月","00000","全国","103617",""
"2017年9月","00000","全国","100893",""
"2017年10月","00000","全国","110422",""
"2017年11月","00000","全国","115170",""
"2017年12月","00000","全国","124807",""
"2018年1月","00000","全国","137773",""
"2018年2月","00000","全国","122855",""
"2018年3月","00000","全国","120575",""
"2018年4月","00000","全国","108977",""
"2018年5月","00000","全国","106196",""
"2018年6月","00000","全国","98406",""
"2018年7月","00000","全国","106782",""
"2018年8月","00000","全国","105948",""
"2018年9月","00000","全国","104679",""
"2018年10月","00000","全国","112320",""
"2018年11月","00000","全国","114473",""
"2018年12月","00000","全国","123486",""
"2019年1月","00000","全国","140223",""
"2019年2月","00000","全国","117312",""
"2019年3月","00000","全国","118335",""
"2019年4月","00000","全国","112790",""
"2019年5月","00000","全国","110055",""
"2019年6月","00000","全国","101290",""
"2019年7月","00000","全国","105858",""
"2019年8月","00000","全国","110466",""
"2019年9月","00000","全国","106732",""
"2019年10月","00000","全国","113147",""
"2019年11月","00000","全国","118152",""
"2019年12月","00000","全国","126733",""
"2020年1月","00000","全国","128993","速報"
"2020年2月","00000","全国","115554","速報"
"2020年3月","00000","全国","117979","速報"
"2020年4月","00000","全国","112407","速報"
"2020年5月","00000","全国","107484","速報"
"2020年6月","00000","全国","99551","速報"
"2020年7月","00000","全国","104046","速報"
"2020年8月","00000","全国","110646","速報"
"2020年9月","00000","全国","106582","速報"
"2020年10月","00000","全国","117144","速報"
"2020年11月","00000","全国","117585","速報"
"2020年12月","00000","全国","134677","速報"
"2021年1月","00000","全国","137354","速報"
"2021年2月","00000","全国","117636","速報"
"2021年3月","00000","全国","122396","速報"
"2021年4月","00000","全国","117084","速報"
"2021年5月","00000","全国","117556","速報"
"2021年6月","00000","全国","107722","速報"
"2021年7月","00000","全国","111291","速報"
"2021年8月","00000","全国","116822","速報"
"2021年9月","00000","全国","114716","速報"
"2021年10月","00000","全国","119767","速報"
"2021年11月","00000","全国","121856","速報"
"2021年12月","00000","全国","135609","速報"
"2022年1月","00000","全国","140290","速報"
"2022年2月","00000","全国","136994","速報"
"2022年3月","00000","全国","138199","速報"
"2022年4月","00000","全国","120693","速報"
"2022年5月","00000","全国","120348","速報"
"2022年6月","00000","全国","110854","速報"
"2022年7月","00000","全国","116520","速報"
